sym,date,direction,entry_idx,exit_idx,entry_price,exit_price,gross_pct,net_pct,win
161129.SZ,2026-07-17,LONG,2,10,1.803,1.818,0.8319,0.7919,True
161129.SZ,2026-07-17,SHORT,55,74,1.803,1.731,3.9933,3.9533,True
688347.SH,2025-12-08,LONG,2,11,114.55,114.79,0.2095,0.1695,True
688347.SH,2025-12-09,LONG,2,10,111.82,112.81,0.8854,0.8454,True
688347.SH,2025-12-09,SHORT,20,58,113.85,112.83,0.8959,0.8559,True
688347.SH,2025-12-09,LONG,84,102,113.09,114.08,0.8754,0.8354,True
688347.SH,2025-12-09,LONG,141,158,111.75,112.83,0.9664,0.9264,True
688347.SH,2025-12-10,LONG,10,56,108.86,108.86,0.0,-0.04,False
688347.SH,2025-12-10,SHORT,64,113,109.49,109.36,0.1187,0.0787,True
688347.SH,2025-12-10,LONG,153,169,108.87,109.0,0.1194,0.0794,True
688347.SH,2025-12-11,SHORT,6,14,111.51,111.03,0.4305,0.3905,True
688347.SH,2025-12-12,LONG,38,69,98.01,99.8,1.8263,1.7863,True
688347.SH,2025-12-12,SHORT,95,168,102.65,102.6,0.0487,0.0087,True
688347.SH,2025-12-12,SHORT,177,193,103.96,103.86,0.0962,0.0562,True
688347.SH,2025-12-15,SHORT,11,28,104.38,103.13,1.1975,1.1575,True
688347.SH,2025-12-15,SHORT,171,195,100.9,100.6,0.2973,0.2573,True
688347.SH,2025-12-16,LONG,80,113,97.82,97.78,-0.0409,-0.0809,False
688347.SH,2025-12-16,LONG,144,166,97.35,98.71,1.397,1.357,True
688347.SH,2025-12-17,SHORT,81,120,99.72,98.82,0.9025,0.8625,True
688347.SH,2025-12-18,SHORT,38,46,102.38,101.48,0.8791,0.8391,True
688347.SH,2025-12-19,LONG,72,104,101.29,100.89,-0.3949,-0.4349,False
688347.SH,2025-12-22,SHORT,2,14,102.8,102.31,0.4767,0.4367,True
688347.SH,2025-12-23,LONG,5,13,103.17,104.49,1.2794,1.2394,True
688347.SH,2025-12-23,SHORT,31,195,105.08,105.3,-0.2094,-0.2494,False
688347.SH,2025-12-24,SHORT,91,112,107.22,107.16,0.056,0.016,True
688347.SH,2025-12-25,SHORT,10,37,110.95,109.01,1.7485,1.7085,True
688347.SH,2025-12-25,LONG,77,174,108.05,110.7,2.4526,2.4126,True
688347.SH,2025-12-26,LONG,3,11,108.79,110.1,1.2042,1.1642,True
688347.SH,2025-12-26,LONG,69,99,108.37,108.9,0.4891,0.4491,True
688347.SH,2025-12-29,SHORT,11,43,111.19,110.05,1.0253,0.9853,True
688347.SH,2025-12-29,SHORT,76,120,110.55,109.22,1.2031,1.1631,True
688347.SH,2025-12-29,LONG,128,170,108.63,108.59,-0.0368,-0.0768,False
688347.SH,2025-12-30,SHORT,2,13,111.08,110.23,0.7652,0.7252,True
688347.SH,2025-12-30,LONG,115,134,107.29,110.95,3.4113,3.3713,True
688347.SH,2025-12-30,LONG,157,173,109.5,110.0,0.4566,0.4166,True
688347.SH,2025-12-31,LONG,10,35,106.6,108.35,1.6417,1.6017,True
688347.SH,2025-12-31,SHORT,46,83,110.4,108.24,1.9565,1.9165,True
688347.SH,2026-01-05,SHORT,4,12,113.9,112.94,0.8428,0.8028,True
688347.SH,2026-01-05,LONG,145,171,114.58,115.26,0.5935,0.5535,True
688347.SH,2026-01-06,SHORT,19,42,122.78,119.89,2.3538,2.3138,True
688347.SH,2026-01-06,LONG,71,88,118.25,118.52,0.2283,0.1883,True
688347.SH,2026-01-07,LONG,11,38,119.27,121.3,1.702,1.662,True
688347.SH,2026-01-07,SHORT,95,126,123.91,123.0,0.7344,0.6944,True
688347.SH,2026-01-08,SHORT,19,28,132.18,130.01,1.6417,1.6017,True
688347.SH,2026-01-08,LONG,76,117,128.53,127.95,-0.4513,-0.4913,False
688347.SH,2026-01-08,LONG,196,218,125.9,126.58,0.5401,0.5001,True
688347.SH,2026-01-09,SHORT,3,11,125.66,123.22,1.9417,1.9017,True
688347.SH,2026-01-09,SHORT,38,81,127.99,127.66,0.2578,0.2178,True
688347.SH,2026-01-09,LONG,98,112,127.85,128.61,0.5944,0.5544,True
688347.SH,2026-01-09,SHORT,164,175,129.31,128.69,0.4795,0.4395,True
688347.SH,2026-01-12,SHORT,3,11,128.93,126.88,1.59,1.55,True
688347.SH,2026-01-13,LONG,2,11,122.89,125.17,1.8553,1.8153,True
688347.SH,2026-01-13,SHORT,22,51,126.8,124.8,1.5773,1.5373,True
688347.SH,2026-01-13,LONG,70,114,122.8,123.05,0.2036,0.1636,True
688347.SH,2026-01-13,LONG,150,173,121.68,123.19,1.241,1.201,True
688347.SH,2026-01-14,SHORT,11,104,124.16,127.29,-2.5209,-2.5609,False
688347.SH,2026-01-14,LONG,176,195,124.73,125.08,0.2806,0.2406,True
688347.SH,2026-01-15,SHORT,2,10,124.29,122.8,1.1988,1.1588,True
688347.SH,2026-01-15,SHORT,40,55,125.72,124.5,0.9704,0.9304,True
688347.SH,2026-01-15,SHORT,149,179,129.59,129.93,-0.2624,-0.3024,False
688347.SH,2026-01-16,SHORT,3,11,133.0,131.91,0.8195,0.7795,True
688347.SH,2026-01-16,LONG,35,53,131.51,131.76,0.1901,0.1501,True
688347.SH,2026-01-16,SHORT,96,110,134.28,133.31,0.7224,0.6824,True
688347.SH,2026-01-16,SHORT,163,187,137.97,138.5,-0.3841,-0.4241,False
688347.SH,2026-01-16,LONG,197,218,138.26,140.91,1.9167,1.8767,True
688347.SH,2026-01-19,LONG,21,33,134.8,136.9,1.5579,1.5179,True
688347.SH,2026-01-19,SHORT,107,120,137.83,135.47,1.7123,1.6723,True
688347.SH,2026-01-19,SHORT,208,220,135.68,134.97,0.5233,0.4833,True
688347.SH,2026-01-20,SHORT,4,12,135.72,134.94,0.5747,0.5347,True
688347.SH,2026-01-20,LONG,52,73,130.67,131.64,0.7423,0.7023,True
688347.SH,2026-01-20,SHORT,174,210,133.5,131.71,1.3408,1.3008,True
688347.SH,2026-01-21,SHORT,10,30,136.75,135.79,0.702,0.662,True
688347.SH,2026-01-21,SHORT,99,118,141.43,137.92,2.4818,2.4418,True
688347.SH,2026-01-21,SHORT,137,152,139.66,139.5,0.1146,0.0746,True
688347.SH,2026-01-22,SHORT,3,12,145.13,141.02,2.8319,2.7919,True
688347.SH,2026-01-22,SHORT,63,106,141.1,139.6,1.0631,1.0231,True
688347.SH,2026-01-22,SHORT,143,169,140.95,139.71,0.8797,0.8397,True
688347.SH,2026-01-23,LONG,12,35,134.96,137.94,2.2081,2.1681,True
688347.SH,2026-01-23,LONG,64,126,135.7,138.19,1.8349,1.7949,True
688347.SH,2026-01-26,SHORT,2,10,144.97,142.04,2.0211,1.9811,True
688347.SH,2026-01-26,LONG,171,208,142.0,142.9,0.6338,0.5938,True
688347.SH,2026-01-27,SHORT,3,11,144.0,140.46,2.4583,2.4183,True
688347.SH,2026-01-27,LONG,60,109,145.21,146.0,0.544,0.504,True
688347.SH,2026-01-27,LONG,123,149,145.21,146.95,1.1983,1.1583,True
688347.SH,2026-01-28,SHORT,55,68,161.09,156.44,2.8866,2.8466,True
688347.SH,2026-01-28,LONG,118,133,155.97,157.82,1.1861,1.1461,True
688347.SH,2026-01-28,SHORT,160,224,157.62,162.99,-3.4069,-3.4469,False
688347.SH,2026-01-29,LONG,3,13,157.71,160.48,1.7564,1.7164,True
688347.SH,2026-01-29,SHORT,99,115,160.5,159.67,0.5171,0.4771,True
688347.SH,2026-01-29,LONG,123,207,159.15,155.54,-2.2683,-2.3083,False
688347.SH,2026-01-30,SHORT,3,11,156.89,153.97,1.8612,1.8212,True
688347.SH,2026-01-30,LONG,52,84,151.54,154.72,2.0985,2.0585,True
688347.SH,2026-01-30,SHORT,131,174,158.1,157.11,0.6262,0.5862,True
688347.SH,2026-02-02,LONG,98,106,139.35,141.18,1.3132,1.2732,True
688347.SH,2026-02-02,LONG,171,188,136.91,138.1,0.8692,0.8292,True
688347.SH,2026-02-03,SHORT,13,39,140.71,139.52,0.8457,0.8057,True
688347.SH,2026-02-03,SHORT,190,215,140.41,140.18,0.1638,0.1238,True
688347.SH,2026-02-04,LONG,179,203,131.48,133.49,1.5287,1.4887,True
688347.SH,2026-02-05,SHORT,2,11,131.15,129.76,1.0599,1.0199,True
688347.SH,2026-02-05,LONG,31,66,128.48,130.68,1.7123,1.6723,True
688347.SH,2026-02-05,LONG,133,147,128.2,128.89,0.5382,0.4982,True
688347.SH,2026-02-06,LONG,3,11,127.79,129.45,1.299,1.259,True
688347.SH,2026-02-06,SHORT,101,114,133.2,132.3,0.6757,0.6357,True
688347.SH,2026-02-09,LONG,48,62,133.53,133.65,0.0899,0.0499,True
688347.SH,2026-02-09,SHORT,71,127,134.48,134.35,0.0967,0.0567,True
688347.SH,2026-02-10,SHORT,4,13,137.16,135.09,1.5092,1.4692,True
688347.SH,2026-02-11,SHORT,14,32,134.33,132.6,1.2879,1.2479,True
688347.SH,2026-02-11,LONG,165,187,131.53,132.0,0.3573,0.3173,True
688347.SH,2026-02-12,SHORT,11,38,133.07,131.6,1.1047,1.0647,True
688347.SH,2026-02-12,LONG,49,86,130.93,130.85,-0.0611,-0.1011,False
688347.SH,2026-02-12,SHORT,96,117,131.02,130.45,0.435,0.395,True
688347.SH,2026-02-12,SHORT,147,203,130.27,129.91,0.2763,0.2363,True
688347.SH,2026-02-12,LONG,214,233,128.99,129.65,0.5117,0.4717,True
688347.SH,2026-02-13,SHORT,10,110,133.2,132.89,0.2327,0.1927,True
688347.SH,2026-02-24,LONG,10,44,124.57,127.66,2.4805,2.4405,True
688347.SH,2026-02-25,LONG,29,59,129.86,131.7,1.4169,1.3769,True
688347.SH,2026-02-25,LONG,195,235,131.41,131.75,0.2587,0.2187,True
688347.SH,2026-02-26,SHORT,2,10,132.08,130.3,1.3477,1.3077,True
688347.SH,2026-02-27,SHORT,13,27,127.26,126.06,0.943,0.903,True
688347.SH,2026-02-27,LONG,74,97,126.05,127.25,0.952,0.912,True
688347.SH,2026-02-27,SHORT,157,178,127.35,126.88,0.3691,0.3291,True
688347.SH,2026-02-27,LONG,215,230,126.25,126.52,0.2139,0.1739,True
688347.SH,2026-03-02,SHORT,11,47,125.8,123.62,1.7329,1.6929,True
688347.SH,2026-03-02,LONG,106,146,123.78,125.08,1.0503,1.0103,True
688347.SH,2026-03-02,LONG,187,218,124.52,124.48,-0.0321,-0.0721,False
688347.SH,2026-03-03,LONG,43,95,119.0,119.1,0.084,0.044,True
688347.SH,2026-03-04,SHORT,2,10,116.34,115.21,0.9713,0.9313,True
688347.SH,2026-03-04,SHORT,20,31,117.1,115.49,1.3749,1.3349,True
688347.SH,2026-03-04,SHORT,48,66,116.64,114.46,1.869,1.829,True
688347.SH,2026-03-06,SHORT,10,31,116.21,116.04,0.1463,0.1063,True
688347.SH,2026-03-06,SHORT,40,70,117.0,116.48,0.4444,0.4044,True
688347.SH,2026-03-06,SHORT,132,143,118.8,118.1,0.5892,0.5492,True
688347.SH,2026-03-09,LONG,2,11,111.35,113.24,1.6974,1.6574,True
688347.SH,2026-03-10,SHORT,3,12,118.5,116.9,1.3502,1.3102,True
688347.SH,2026-03-10,SHORT,46,106,117.33,115.69,1.3978,1.3578,True
688347.SH,2026-03-11,SHORT,23,55,127.63,127.02,0.4779,0.4379,True
688347.SH,2026-03-12,SHORT,21,41,129.82,127.63,1.687,1.647,True
688347.SH,2026-03-12,LONG,111,169,124.37,126.07,1.3669,1.3269,True
688347.SH,2026-03-12,SHORT,178,192,127.2,126.27,0.7311,0.6911,True
688347.SH,2026-03-13,LONG,11,66,119.49,121.9,2.0169,1.9769,True
688347.SH,2026-03-16,LONG,3,14,117.0,120.49,2.9829,2.9429,True
688347.SH,2026-03-16,SHORT,24,71,121.43,120.06,1.1282,1.0882,True
688347.SH,2026-03-16,LONG,82,105,119.87,120.1,0.1919,0.1519,True
688347.SH,2026-03-17,LONG,10,30,126.15,127.77,1.2842,1.2442,True
688347.SH,2026-03-17,SHORT,42,75,129.13,130.5,-1.0609,-1.1009,False
688347.SH,2026-03-17,LONG,95,121,130.07,129.28,-0.6074,-0.6474,False
688347.SH,2026-03-17,SHORT,176,188,129.0,128.34,0.5116,0.4716,True
688347.SH,2026-03-18,LONG,2,43,127.52,126.82,-0.5489,-0.5889,False
688347.SH,2026-03-18,LONG,85,96,123.58,124.98,1.1329,1.0929,True
688347.SH,2026-03-18,SHORT,113,134,125.7,125.13,0.4535,0.4135,True
688347.SH,2026-03-19,LONG,10,66,119.87,121.59,1.4349,1.3949,True
688347.SH,2026-03-20,LONG,2,12,120.81,121.79,0.8112,0.7712,True
688347.SH,2026-03-20,LONG,60,109,119.52,120.42,0.753,0.713,True
688347.SH,2026-03-20,LONG,145,158,118.53,118.93,0.3375,0.2975,True
688347.SH,2026-03-23,LONG,2,13,112.27,113.28,0.8996,0.8596,True
688347.SH,2026-03-23,SHORT,37,57,114.31,112.52,1.5659,1.5259,True
688347.SH,2026-03-23,LONG,117,125,111.26,110.82,-0.3955,-0.4355,False
688347.SH,2026-03-24,LONG,47,65,107.43,108.71,1.1915,1.1515,True
688347.SH,2026-03-24,SHORT,99,135,110.4,111.22,-0.7428,-0.7828,False
688347.SH,2026-03-24,LONG,177,205,111.35,113.7,2.1105,2.0705,True
688347.SH,2026-03-25,SHORT,46,61,118.12,117.06,0.8974,0.8574,True
688347.SH,2026-03-25,LONG,113,129,115.2,116.19,0.8594,0.8194,True
688347.SH,2026-03-25,SHORT,151,162,117.23,117.43,-0.1706,-0.2106,False
688347.SH,2026-03-26,SHORT,12,51,115.58,115.43,0.1298,0.0898,True
688347.SH,2026-03-26,LONG,64,93,113.9,113.51,-0.3424,-0.3824,False
688347.SH,2026-03-26,LONG,148,165,111.36,111.61,0.2245,0.1845,True
688347.SH,2026-03-27,SHORT,2,10,109.71,108.52,1.0847,1.0447,True
688347.SH,2026-03-27,SHORT,23,87,109.61,110.91,-1.186,-1.226,False
688347.SH,2026-03-27,SHORT,134,146,113.86,112.99,0.7641,0.7241,True
688347.SH,2026-03-27,LONG,180,198,112.22,112.25,0.0267,-0.0133,False
688347.SH,2026-03-30,LONG,50,78,108.1,108.9,0.7401,0.7001,True
688347.SH,2026-03-31,LONG,116,157,106.29,107.46,1.1008,1.0608,True
688347.SH,2026-04-02,SHORT,3,20,112.51,111.32,1.0577,1.0177,True
688347.SH,2026-04-02,SHORT,74,142,110.5,109.23,1.1493,1.1093,True
688347.SH,2026-04-03,SHORT,5,14,109.76,109.18,0.5284,0.4884,True
688347.SH,2026-04-03,SHORT,58,79,110.38,109.89,0.4439,0.4039,True
688347.SH,2026-04-03,LONG,120,152,108.1,108.41,0.2868,0.2468,True
688347.SH,2026-04-07,SHORT,11,49,110.62,110.46,0.1446,0.1046,True
688347.SH,2026-04-07,LONG,136,160,110.0,110.82,0.7455,0.7055,True
688347.SH,2026-04-07,SHORT,202,227,112.47,111.68,0.7024,0.6624,True
688347.SH,2026-04-08,LONG,4,13,118.25,118.59,0.2875,0.2475,True
688347.SH,2026-04-08,SHORT,23,32,119.1,118.35,0.6297,0.5897,True
688347.SH,2026-04-08,LONG,51,64,116.67,118.24,1.3457,1.3057,True
688347.SH,2026-04-08,SHORT,72,90,118.53,118.31,0.1856,0.1456,True
688347.SH,2026-04-08,LONG,175,218,120.21,120.2,-0.0083,-0.0483,False
688347.SH,2026-04-09,SHORT,26,63,120.52,120.78,-0.2157,-0.2557,False
688347.SH,2026-04-09,LONG,104,158,119.91,120.18,0.2252,0.1852,True
688347.SH,2026-04-09,SHORT,166,202,120.37,119.97,0.3323,0.2923,True
688347.SH,2026-04-10,LONG,6,14,121.4,122.33,0.7661,0.7261,True
688347.SH,2026-04-10,LONG,139,168,121.2,122.38,0.9736,0.9336,True
688347.SH,2026-04-10,SHORT,177,199,122.98,122.25,0.5936,0.5536,True
688347.SH,2026-04-10,SHORT,217,230,122.51,121.72,0.6448,0.6048,True
688347.SH,2026-04-13,LONG,14,33,120.67,122.5,1.5165,1.4765,True
688347.SH,2026-04-13,SHORT,48,59,123.64,122.19,1.1728,1.1328,True
688347.SH,2026-04-14,SHORT,25,33,124.17,122.9,1.0228,0.9828,True
688347.SH,2026-04-14,SHORT,121,131,123.21,123.0,0.1704,0.1304,True
688347.SH,2026-04-14,LONG,175,205,121.58,121.6,0.0165,-0.0235,False
688347.SH,2026-04-15,SHORT,3,11,125.85,125.03,0.6516,0.6116,True
688347.SH,2026-04-15,LONG,63,81,125.88,129.08,2.5421,2.5021,True
688347.SH,2026-04-16,SHORT,10,38,125.08,125.93,-0.6796,-0.7196,False
688347.SH,2026-04-16,SHORT,68,78,126.3,125.24,0.8393,0.7993,True
688347.SH,2026-04-16,LONG,135,196,122.95,124.21,1.0248,0.9848,True
688347.SH,2026-04-17,LONG,4,12,123.28,124.85,1.2735,1.2335,True
688347.SH,2026-04-17,LONG,199,218,124.53,124.81,0.2248,0.1848,True
688347.SH,2026-04-20,SHORT,25,39,128.67,128.18,0.3808,0.3408,True
688347.SH,2026-04-20,LONG,48,68,126.93,129.7,2.1823,2.1423,True
688347.SH,2026-04-20,LONG,182,194,129.27,130.2,0.7194,0.6794,True
688347.SH,2026-04-21,LONG,102,130,126.98,128.0,0.8033,0.7633,True
688347.SH,2026-04-21,SHORT,164,185,129.27,128.21,0.82,0.78,True
688347.SH,2026-04-22,SHORT,11,72,129.73,127.71,1.5571,1.5171,True
688347.SH,2026-04-22,LONG,90,123,127.12,127.71,0.4641,0.4241,True
688347.SH,2026-04-22,SHORT,156,166,127.59,127.57,0.0157,-0.0243,False
688347.SH,2026-04-22,LONG,197,236,127.36,129.3,1.5232,1.4832,True
688347.SH,2026-04-23,LONG,75,94,123.8,124.21,0.3312,0.2912,True
688347.SH,2026-04-23,LONG,115,228,123.03,123.54,0.4145,0.3745,True
688347.SH,2026-04-24,LONG,14,24,122.31,122.83,0.4251,0.3851,True
688347.SH,2026-04-24,SHORT,164,174,140.69,137.29,2.4167,2.3767,True
688347.SH,2026-04-24,SHORT,218,229,138.72,137.81,0.656,0.616,True
688347.SH,2026-04-27,SHORT,3,11,140.02,138.33,1.207,1.167,True
688347.SH,2026-04-27,SHORT,60,80,143.6,142.37,0.8565,0.8165,True
688347.SH,2026-04-27,LONG,97,105,141.25,142.25,0.708,0.668,True
688347.SH,2026-04-28,SHORT,14,38,140.8,140.22,0.4119,0.3719,True
688347.SH,2026-04-29,LONG,36,59,126.94,130.53,2.8281,2.7881,True
688347.SH,2026-04-30,SHORT,2,10,134.7,133.3,1.0393,0.9993,True
688347.SH,2026-04-30,SHORT,102,128,137.73,136.7,0.7478,0.7078,True
688347.SH,2026-05-06,SHORT,161,170,154.62,153.81,0.5239,0.4839,True
688347.SH,2026-05-07,LONG,4,117,151.6,159.5,5.2111,5.1711,True
688347.SH,2026-05-08,LONG,14,37,159.56,159.7,0.0877,0.0477,True
688347.SH,2026-05-08,LONG,48,73,157.95,157.61,-0.2153,-0.2553,False
688347.SH,2026-05-08,LONG,131,142,155.16,158.29,2.0173,1.9773,True
688347.SH,2026-05-11,LONG,11,37,162.61,165.31,1.6604,1.6204,True
688347.SH,2026-05-11,SHORT,47,68,166.64,164.41,1.3382,1.2982,True
688347.SH,2026-05-12,LONG,12,74,159.84,165.0,3.2282,3.1882,True
688347.SH,2026-05-12,LONG,125,144,159.81,161.24,0.8948,0.8548,True
688347.SH,2026-05-12,SHORT,154,169,161.1,159.37,1.0739,1.0339,True
688347.SH,2026-05-12,LONG,198,219,158.3,161.01,1.7119,1.6719,True
688347.SH,2026-05-13,LONG,4,12,154.72,157.43,1.7516,1.7116,True
688347.SH,2026-05-13,LONG,32,42,154.2,156.77,1.6667,1.6267,True
688347.SH,2026-05-13,SHORT,116,146,159.9,159.61,0.1814,0.1414,True
688347.SH,2026-05-14,LONG,29,65,157.39,157.6,0.1334,0.0934,True
688347.SH,2026-05-14,LONG,100,121,155.71,157.31,1.0276,0.9876,True
688347.SH,2026-05-14,SHORT,145,156,160.39,157.56,1.7644,1.7244,True
688347.SH,2026-05-15,SHORT,2,10,167.0,153.33,8.1856,8.1456,True
688347.SH,2026-05-15,LONG,18,53,152.81,151.19,-1.0601,-1.1001,False
688347.SH,2026-05-15,SHORT,90,127,157.4,151.32,3.8628,3.8228,True
688347.SH,2026-05-15,LONG,166,177,150.15,150.67,0.3463,0.3063,True
688347.SH,2026-05-15,LONG,206,228,149.45,149.55,0.0669,0.0269,True
688347.SH,2026-05-18,LONG,3,11,148.99,152.0,2.0203,1.9803,True
688347.SH,2026-05-18,SHORT,21,44,153.39,151.9,0.9714,0.9314,True
688347.SH,2026-05-18,LONG,66,123,150.49,148.63,-1.236,-1.276,False
688347.SH,2026-05-18,LONG,173,234,148.13,147.85,-0.189,-0.229,False
688347.SH,2026-05-19,LONG,3,11,143.3,145.29,1.3887,1.3487,True
688347.SH,2026-05-19,LONG,36,65,141.01,143.8,1.9786,1.9386,True
688347.SH,2026-05-19,LONG,169,186,144.31,145.56,0.8662,0.8262,True
688347.SH,2026-05-20,SHORT,81,121,165.08,168.0,-1.7688,-1.8088,False
688347.SH,2026-05-20,SHORT,145,208,174.2,175.88,-0.9644,-1.0044,False
688347.SH,2026-05-21,SHORT,2,10,180.31,174.05,3.4718,3.4318,True
688347.SH,2026-05-21,SHORT,32,91,178.39,179.0,-0.3419,-0.3819,False
688347.SH,2026-05-22,LONG,10,24,165.87,172.01,3.7017,3.6617,True
688347.SH,2026-05-22,SHORT,75,93,174.09,171.46,1.5107,1.4707,True
688347.SH,2026-05-22,LONG,103,129,170.7,176.78,3.5618,3.5218,True
688347.SH,2026-05-22,LONG,147,193,177.6,177.92,0.1802,0.1402,True
688347.SH,2026-05-25,LONG,3,11,180.81,189.09,4.5794,4.5394,True
688347.SH,2026-05-26,SHORT,2,10,221.99,216.74,2.365,2.325,True
688347.SH,2026-05-26,LONG,83,113,211.46,215.53,1.9247,1.8847,True
688347.SH,2026-05-26,LONG,128,142,212.28,214.67,1.1259,1.0859,True
688347.SH,2026-05-26,LONG,177,207,212.1,215.41,1.5606,1.5206,True
688347.SH,2026-05-27,LONG,7,54,217.4,226.3,4.0938,4.0538,True
688347.SH,2026-05-27,SHORT,66,79,226.2,221.56,2.0513,2.0113,True
688347.SH,2026-05-27,SHORT,105,114,226.17,223.7,1.0921,1.0521,True
688347.SH,2026-05-28,SHORT,44,82,253.75,244.23,3.7517,3.7117,True
688347.SH,2026-05-28,SHORT,148,220,251.09,249.68,0.5616,0.5216,True
688347.SH,2026-05-29,LONG,2,12,242.98,246.44,1.424,1.384,True
688347.SH,2026-05-29,SHORT,74,99,249.0,240.14,3.5582,3.5182,True
688347.SH,2026-05-29,SHORT,137,159,242.8,238.7,1.6886,1.6486,True
688347.SH,2026-05-29,LONG,180,212,235.32,234.51,-0.3442,-0.3842,False
688347.SH,2026-06-02,SHORT,4,13,229.43,225.93,1.5255,1.4855,True
688347.SH,2026-06-02,SHORT,71,106,230.2,225.9,1.8679,1.8279,True
688347.SH,2026-06-02,SHORT,121,129,226.43,226.94,-0.2252,-0.2652,False
688347.SH,2026-06-02,LONG,170,211,227.3,225.4,-0.8359,-0.8759,False
688347.SH,2026-06-03,SHORT,31,46,244.01,236.92,2.9056,2.8656,True
688347.SH,2026-06-03,LONG,147,163,237.2,238.85,0.6956,0.6556,True
688347.SH,2026-06-03,LONG,204,222,231.58,233.49,0.8248,0.7848,True
688347.SH,2026-06-04,SHORT,25,53,245.68,243.71,0.8019,0.7619,True
688347.SH,2026-06-04,LONG,205,214,242.28,244.44,0.8915,0.8515,True
688347.SH,2026-06-05,LONG,4,12,233.0,235.9,1.2446,1.2046,True
688347.SH,2026-06-05,SHORT,59,75,245.3,242.44,1.1659,1.1259,True
688347.SH,2026-06-05,LONG,151,174,229.57,232.98,1.4854,1.4454,True
688347.SH,2026-06-05,LONG,210,237,227.11,227.0,-0.0484,-0.0884,False
688347.SH,2026-06-08,SHORT,10,37,219.22,219.34,-0.0547,-0.0947,False
688347.SH,2026-06-08,SHORT,70,83,221.65,219.89,0.794,0.754,True
688347.SH,2026-06-08,LONG,161,172,213.92,214.78,0.402,0.362,True
688347.SH,2026-06-09,LONG,13,103,213.19,216.16,1.3931,1.3531,True
688347.SH,2026-06-09,LONG,150,176,221.57,226.44,2.198,2.158,True
688347.SH,2026-06-09,LONG,220,234,226.99,227.4,0.1806,0.1406,True
688347.SH,2026-06-10,LONG,3,11,221.23,231.73,4.7462,4.7062,True
688347.SH,2026-06-10,SHORT,21,43,235.7,228.18,3.1905,3.1505,True
688347.SH,2026-06-10,LONG,160,182,221.88,223.76,0.8473,0.8073,True
688347.SH,2026-06-11,LONG,3,14,215.01,221.2,2.8789,2.8389,True
688347.SH,2026-06-11,LONG,194,215,217.88,219.03,0.5278,0.4878,True
688347.SH,2026-06-12,SHORT,3,11,234.51,229.5,2.1364,2.0964,True
688347.SH,2026-06-12,LONG,225,236,219.01,219.72,0.3242,0.2842,True
688347.SH,2026-06-15,LONG,3,11,218.0,222.05,1.8578,1.8178,True
688347.SH,2026-06-16,SHORT,78,86,241.0,239.41,0.6598,0.6198,True
688347.SH,2026-06-16,LONG,146,176,234.2,236.0,0.7686,0.7286,True
688347.SH,2026-06-16,SHORT,192,222,238.35,237.45,0.3776,0.3376,True
688347.SH,2026-06-17,LONG,3,11,230.41,232.66,0.9765,0.9365,True
688347.SH,2026-06-17,SHORT,67,84,252.37,248.12,1.684,1.644,True
688347.SH,2026-06-17,LONG,115,147,250.05,254.8,1.8996,1.8596,True
688347.SH,2026-06-17,LONG,189,219,255.99,258.69,1.0547,1.0147,True
688347.SH,2026-06-18,SHORT,2,12,260.06,259.7,0.1384,0.0984,True
688347.SH,2026-06-18,SHORT,48,92,270.59,274.0,-1.2602,-1.3002,False
688347.SH,2026-06-18,LONG,105,117,273.7,274.01,0.1133,0.0733,True
688347.SH,2026-06-18,SHORT,140,162,288.18,287.38,0.2776,0.2376,True
688347.SH,2026-06-22,LONG,2,10,275.0,283.72,3.1709,3.1309,True
688347.SH,2026-06-22,SHORT,28,48,282.48,276.99,1.9435,1.9035,True
688347.SH,2026-06-22,LONG,58,124,271.04,270.68,-0.1328,-0.1728,False
688347.SH,2026-06-23,SHORT,56,78,299.97,293.0,2.3236,2.2836,True
688347.SH,2026-06-23,SHORT,99,111,291.8,290.55,0.4284,0.3884,True
688347.SH,2026-06-24,SHORT,2,12,290.83,286.99,1.3204,1.2804,True
688347.SH,2026-06-24,SHORT,51,81,318.99,310.18,2.7618,2.7218,True
688347.SH,2026-06-24,LONG,89,101,308.99,310.53,0.4984,0.4584,True
688347.SH,2026-06-24,LONG,181,201,310.79,313.4,0.8398,0.7998,True
688347.SH,2026-06-24,SHORT,211,223,314.5,312.11,0.7599,0.7199,True
688347.SH,2026-06-25,SHORT,38,76,326.97,317.84,2.7923,2.7523,True
688347.SH,2026-06-26,SHORT,10,58,328.98,320.05,2.7145,2.6745,True
688347.SH,2026-06-26,SHORT,120,185,320.14,326.47,-1.9773,-2.0173,False
688347.SH,2026-06-29,SHORT,22,40,344.6,331.35,3.845,3.805,True
688347.SH,2026-06-29,SHORT,80,124,332.21,326.5,1.7188,1.6788,True
688347.SH,2026-06-29,LONG,132,148,324.82,334.3,2.9185,2.8785,True
688347.SH,2026-06-29,SHORT,162,191,338.8,335.01,1.1187,1.0787,True
688347.SH,2026-06-30,LONG,11,37,336.02,346.69,3.1754,3.1354,True
688347.SH,2026-06-30,LONG,52,88,336.83,345.0,2.4256,2.3856,True
688347.SH,2026-06-30,SHORT,97,109,344.41,344.33,0.0232,-0.0168,False
688347.SH,2026-06-30,LONG,134,146,341.23,344.86,1.0638,1.0238,True
